,CVE_DOC,CVE_ART,MARGEN_TOTAL_CALCULADO
487,F37946,BC00027,1952.46
488,F37947,TUA00099,6087.74
489,F37951,TP0001,67.21
490,F37953,CM10D2025A00,1105.99
491,F37953,CM10D2030A00,847.64
492,F37958,TP0004,187.54
493,F37959,TP0024,114.51
494,F37960,BL00055,462.85
495,F37961,TJ00043,951.15
496,F37962,TJ00043,2853.46
497,F37964,TUS00003,6490.64
498,F37966,BB1 1/2X1/2-300W,242.0
499,F37967,E1041960,657.43
500,F37970,CS14E1020A00,439.2
501,F37971,P231F1H6AB00,1447.73
502,F37972,TUA00079,2364.1
503,F37977,TUE00319,61844.32
504,F37978,TUE00248,3716.18
505,F37980,TP0003,1776.33
506,F37985,BO00059,4299.7
507,F37987,CAE00039,1373.9
508,F37990,TUA00412,1323.82
509,F37990,TUA00440,663.98
510,F37990,TUS00120,548.08
511,F37991,TP0002,204.19
512,F37996,TUA00124,2109.62
513,F37997,RM00038,6481.35
514,F38000,TUA00376,8395.81
515,F38001,TP0025,652.68
516,F38003,TUS00048,586.0
517,F38004,TUE00258,1141.04
518,F38005,TP00011,6270.07
519,F38005,TUE00261,28027.01
520,F38008,TUA00437,1484.45
521,F38012,TUE00336,3115.06
522,F38014,PT00083,2300.06
523,F38021,PA00001,6551.82
524,F38023,TP0011,276.29
525,F38026,BP00261,914.37
526,F38029,TUA00438,1130.44
527,F38030,TP0011,340.6
528,F38036,TP0012,694.92
529,F38042,CAE00040,8265.59
530,F38043,TUE00034,3984.95
531,F38046,ECQ-00971,4213.0
532,F38046,ECQ-01444,8803.52
533,F38047,ECQ-00972,39892.55
534,F38047,ECQ-01444,22621.49
535,F38048,TUE00344,2466.93
536,F38058,CS38C1008A00,4267.36
537,F38059,BB00095,646.03
538,F38061,PT31B1D5A400,531.79
539,F38062,TP0025,781.59
540,F38064,TP0016,510.0
541,F38065,RM00022,393.21
542,F38066,TK00062,803.22
543,F38067,TP0011,1703.0
544,F38067,TP0012,259.46
545,F38069,BP00260,820.66
